flow_duration,ip_proto,srcport,dstport,byte_count,packet_count,type
144,1,0,0,13720,140,0
144,1,0,0,13720,140,0
144,1,0,0,13720,140,0
144,1,0,0,13720,140,0
144,1,0,0,13720,140,0
174,1,0,0,16660,170,0
174,1,0,0,16660,170,0
174,1,0,0,16660,170,0
174,1,0,0,16660,170,0
174,1,0,0,16660,170,0
174,1,0,0,16660,170,0
14,17,38903,5001,1956528,1294,0
14,17,38903,5001,1956528,1294,0
14,17,38903,5001,1956528,1294,0
44,17,38903,5001,6007176,3973,0
24,6,58378,80,26477016,4744,0
24,6,80,58378,278058,4213,0
44,17,38903,5001,6010200,3975,0
24,6,58378,80,26482874,4745,0
24,6,80,58378,278058,4213,0
44,17,38903,5001,6007176,3973,0
24,6,58378,80,26477082,4745,0
24,6,80,58378,278058,4213,0
74,17,38903,5001,10056312,6651,0
54,6,58378,80,58891486,10551,0
54,6,80,58378,618090,9365,0
74,17,38903,5001,10057824,6652,0
54,6,58378,80,58903202,10553,0
54,6,80,58378,618090,9365,0
74,17,38903,5001,10056312,6651,0
54,6,58378,80,58891552,10552,0
54,6,80,58378,618090,9365,0
104,17,38903,5001,14105448,9329,0
84,6,58378,80,91306348,16342,0
84,6,80,58378,957594,14509,0
104,17,38903,5001,14105448,9329,0
84,6,58378,80,91306414,16343,0
84,6,80,58378,957594,14509,0
104,17,38903,5001,14106960,9330,0
84,6,58378,80,91312206,16343,0
84,6,80,58378,957594,14509,0
134,17,38903,5001,18153072,12006,0
114,6,58378,80,123700670,22107,0
114,6,80,58378,1298550,19675,0
134,17,38903,5001,18153072,12006,0
114,6,58378,80,123700736,22108,0
114,6,80,58378,1298550,19675,0
134,17,38903,5001,18154584,12007,0
114,6,58378,80,123713834,22109,0
114,6,80,58378,1298550,19675,0
164,17,38903,5001,22200696,14683,0
144,6,58378,80,156116258,27909,0
144,6,80,58378,1639044,24834,0
164,17,38903,5001,22200696,14683,0
144,6,58378,80,156116324,27910,0
144,6,80,58378,1639044,24834,0
164,17,38903,5001,22202208,14684,0
144,6,58378,80,156123630,27911,0
144,6,80,58378,1639044,24834,0
194,17,38903,5001,26249832,17361,0
174,6,58378,80,188518682,33709,0
174,6,80,58378,1978548,29978,0
194,17,38903,5001,26249832,17361,0
174,6,58378,80,188518748,33710,0
174,6,80,58378,1978548,29978,0
194,17,38903,5001,26251344,17362,0
174,6,58378,80,188530398,33711,0
174,6,80,58378,1978548,29978,0
224,17,38903,5001,30297456,20038,0
204,6,58378,80,220925450,39509,0
204,6,80,58378,2317656,35116,0
224,17,38903,5001,30297456,20038,0
204,6,58378,80,220925516,39510,0
204,6,80,58378,2317656,35116,0
224,17,38903,5001,30298968,20039,0
204,6,58378,80,220931308,39510,0
204,6,80,58378,2317656,35116,0
4507750,6,80,33782,1281,8,1
31899,6,42652,80,0,2,1
1537,6,53144,80,0,2,1
5166,6,63919,80,0,2,1
4331280,6,80,45060,1232,8,1
898,6,49798,80,0,2,1
31845,6,58626,80,0,2,1
161422,6,42530,80,0,3,1
3227,6,65349,80,0,2,1
4229517,6,80,43948,1253,8,1
4275794,6,80,43228,1287,8,1
16835,6,64027,80,1247,7,1
2124,6,59666,80,0,2,1
870456,6,52245,80,984,7,1
64738,6,48314,80,0,3,1
19361,6,51572,80,0,2,1
71148,6,80,59583,1274,7,1
6488,6,57917,80,1210,7,1
4121457,6,80,41262,1293,9,1
106053,6,59884,80,0,3,1
207,6,40864,80,0,2,1
1040581,6,58747,80,984,7,1
63016665,6,80,33532,1265,9,1
3229,6,80,55807,1244,7,1
596,6,48366,80,0,2,1
4595266,6,80,37768,1261,8,1
15047,6,62668,80,0,2,1
75605,6,53830,80,1305,7,1
65258,6,44146,80,0,3,1
1188,6,65416,80,0,2,1
1922,6,59046,80,0,2,1
1477,6,53050,80,0,2,1
5241201,6,80,58238,1287,9,1
2053,6,35270,80,0,2,1
13898,6,52127,80,1201,7,1
37103,6,51494,80,0,2,1
